grateful 	Земфира - кофевино
рабочее 	M. Flatley, Riverdance
hopeful 	Обе две – Северо-запад
nostalgic 	Ночные Снайперы – Осень, ну и что?
nervous 	Blackmore's Night – Wish You Were Here
satisfied 	Flёur - Разбег
satisfied 	Chuck Berry - You never can tell
dirty 	Lana Del Rey - Off To The Races
улыбчивое 	медленно ракеты улетают вдаль
усталое 	Дай папиросочку, у тебя брюки в полосочку
молодцы! 	Тише, Танечка, не плачь, не утонет в речке мяч
гм 	о морэ мио
гений чистой красоты 	Всё выше, и выше, и выше!
офигевшее 	"Невеста полоза"
accomplished 	"Winter is coming", by Break of Reality
weird 	"Back to Black", by Amy Winehouse
grateful 	"Gangsta Party", by 2Pac
refreshed 	"Revolution", by The Beatles
crappy 	"Losing My Religion", by R.E.M.
awake 	"Zombie", by The Cranberries
accomplished 	"It's time", by Imagine Dragons
indifferent 	"Human", The Killers
dirty 	"Fuck You", by Lily Allen
weird 	"God Is Dead?", by Black Sabbath
giggly 	9 1/2 weeks
sleepy 	"Позови меня с собой", Алла Пугачева
drunk 	"Come As You Are", by Nirvana
flirty 	"Island Blues", by Koop
depressed 	"Shine On You Crazy Diamond", by Pink Floyd
flirty 	Стихи Пушкина. Самая прекрасная музыка.
refreshed 	"The Only Thing That Looks Good On Me Is You", by Brian Adams
crazy 	"Crazy" by Gnarls Barkley
curious 	"All That Jazz", from "Chicago"
thankful 	"Бери шинель", Булат Окуджава
sad 	"Time to Say Goodbye", by Sarah Brightman & Andrea Bocelli
crushed 	"Hall of Fame", by The Script
cynical 	"U.S.S.R.", by Eddy Huntington
curious 	"It's a Trip", by Shakespeare's Sister
uncomfortable 	"Stay", by Shakespeare's Sister
crazy 	Current 93 - Black Ships
